station_id,date_from,date_to,altitude,latitude,longitude,name,state,cumulative,Hillshade_
"216",2004-10-01,2021-02-28,"298",51.1143,7.8807,Attendorn-Neulisternohl,Nordrhein-Westfalen,322.7,183.00000
"389",2009-11-01,2021-02-28,"436",51.0148,8.4318,"Berleburg, Bad-Arfeld",Nordrhein-Westfalen,335.8,177.00000
"390",2004-07-01,2021-02-28,"610",50.9837,8.3683,"Berleburg, Bad-St�nzel",Nordrhein-Westfalen,378.5,192.00000
"613",2004-11-01,2021-02-28,"206",51.5677,9.2324,Borgentreich,Nordrhein-Westfalen,395.1,179.00000
"644",2005-01-01,2021-02-28,"150",51.7049,9.1738,Brakel,Nordrhein-Westfalen,387.6,179.00000
"796",2004-11-01,2021-02-28,"412",50.7556,8.1257,Burbach-W�rgendorf,Nordrhein-Westfalen,417.2,196.00000
"934",2004-10-01,2021-02-28,"88",51.7835,8.5658,Delbr�ck,Nordrhein-Westfalen,348.4,183.00000
"1300",2004-06-01,2021-02-28,"351",51.254,8.1565,Eslohe,Nordrhein-Westfalen,412.1,157.00000
"2483",1995-10-12,2021-02-28,"839",51.1803,8.4891,Kahler Asten,Nordrhein-Westfalen,501.6,180.00000
"2947",2006-10-01,2021-02-28,"286",51.1333,8.0348,Lennestadt-Theten,Nordrhein-Westfalen,294.7,198.00000
"3028",1995-09-01,2021-02-28,"157",51.7854,8.8388,"Lippspringe, Bad",Nordrhein-Westfalen,379.7,181.00000
"3031",2004-07-01,2021-02-28,"92",51.6336,8.3945,Lippstadt-B�kenf�rde,Nordrhein-Westfalen,370.9,181.00000
"3098",1995-09-01,2021-02-28,"387",51.2452,7.6425,L�denscheid,Nordrhein-Westfalen,336.8,171.00000
"3215",2007-06-01,2021-02-28,"375",51.1683,8.7125,Medebach-Berge,Nordrhein-Westfalen,291.7,185.00000
"3499",2006-07-01,2021-02-28,"292",51.2915,7.853,Neuenrade-Blintrop,Nordrhein-Westfalen,388.5,167.00000
"4127",2005-01-01,2021-02-28,"347",50.9906,7.6958,Reichshof-Eckenhagen,Nordrhein-Westfalen,360.8,167.00000
"4313",2004-08-01,2021-02-28,"370",51.4966,8.4342,R�then,Nordrhein-Westfalen,374.8,184.00000
"4368",2004-10-01,2021-02-28,"93",51.7098,8.5796,Salzkotten,Nordrhein-Westfalen,345,182.00000
"4400",2004-08-01,2021-02-28,"171",51.5439,8.1808,"Sassendorf, Bad-Beusingsen",Nordrhein-Westfalen,373.1,185.00000
"4488",2006-08-01,2021-02-28,"443",51.2127,8.2672,Schmallenberg-Sellinghausen,Nordrhein-Westfalen,374.2,205.00000
"4692",2008-03-01,2018-12-01,"229",50.8534,7.9966,Siegen (Kl�ranlage),Nordrhein-Westfalen,327.2,164.00000
"5347",1995-09-01,2021-02-28,"236",51.5039,9.1118,Warburg,Nordrhein-Westfalen,371.1,177.00000
"5360",2007-07-01,2021-02-28,"331",51.4319,8.2665,Warstein-Hirschberg,Nordrhein-Westfalen,444.9,188.00000
"5468",2006-07-01,2020-10-01,"418",50.9377,7.8475,Wenden-D�rnscheid,Nordrhein-Westfalen,346.5,164.00000
"5480",2003-09-10,2021-02-28,"85",51.5763,7.8879,Werl,Nordrhein-Westfalen,285.4,176.00000
"5619",2004-12-01,2021-02-28,"360",51.1637,7.4234,Wipperf�rth-Gardeweg,Nordrhein-Westfalen,341.6,177.00000
"5699",2004-11-01,2021-02-28,"312",51.5427,8.7784,W�nnenberg-Eilern,Nordrhein-Westfalen,335.8,185.00000
"6264",2004-06-01,2021-02-28,"457",51.414,8.65,Brilon-Th�len,Nordrhein-Westfalen,389.9,193.00000
"6276",2004-11-01,2019-11-02,"235",51.4895,7.7813,Fr�ndenberg-Hohenheide,Nordrhein-Westfalen,337.2,179.00000
"6313",2004-12-01,2021-02-28,"440",51.2488,7.4672,Breckerfeld-Wengeberg,Nordrhein-Westfalen,386.9,193.00000
"7330",2005-10-01,2021-02-28,"159",51.4633,7.978,Arnsberg-Neheim,Nordrhein-Westfalen,418.2,181.00000
"13700",2008-05-01,2021-02-28,"205",51.3329,7.3411,Gevelsberg-Oberbr�king,Nordrhein-Westfalen,357.1,174.00000
"13713",2007-11-01,2021-02-28,"386",51.0899,7.6289,Meinerzhagen-Redlendorf,Nordrhein-Westfalen,402.4,173.00000
