fid,cat,station_id,date_from,date_to,altitude,latitude,longitude,name,state,dtm_height
1,"1","3098",1995-09-01,2021-02-11,"387",51.245199999999997,7.642500000000000,L�denscheid,Nordrhein-Westfalen,167.000000000000000
2,"2","4127",2005-01-01,2021-02-11,"347",50.990600000000001,7.695800000000000,Reichshof-Eckenhagen,Nordrhein-Westfalen,177.000000000000000
3,"3","5619",2004-12-01,2021-02-11,"360",51.163699999999999,7.423400000000000,Wipperf�rth-Gardeweg,Nordrhein-Westfalen,177.000000000000000
4,"4","6313",2004-12-01,2021-02-11,"440",51.248800000000003,7.467200000000000,Breckerfeld-Wengeberg,Nordrhein-Westfalen,182.000000000000000
5,"5","13713",2007-11-01,2021-02-11,"386",51.089900000000000,7.628900000000000,Meinerzhagen-Redlendorf,Nordrhein-Westfalen,165.000000000000000
6,"6","613",2004-11-01,2021-02-11,"206",51.567700000000002,9.232400000000000,Borgentreich,Nordrhein-Westfalen,177.000000000000000
7,"7","644",2005-01-01,2021-02-11,"150",51.704900000000002,9.173800000000000,Brakel,Nordrhein-Westfalen,179.000000000000000
8,"8","5347",1995-09-01,2021-02-09,"236",51.503900000000002,9.111800000000001,Warburg,Nordrhein-Westfalen,176.000000000000000
9,"9","934",2004-10-01,2021-02-11,"88",51.783499999999997,8.565799999999999,Delbr�ck,Nordrhein-Westfalen,182.000000000000000
10,"10","3028",1995-09-01,2021-02-11,"157",51.785400000000003,8.838800000000001,"Lippspringe, Bad",Nordrhein-Westfalen,181.000000000000000
11,"11","4313",2004-08-01,2021-02-11,"370",51.496600000000001,8.434200000000001,R�then,Nordrhein-Westfalen,184.000000000000000
12,"12","4368",2004-10-01,2021-02-11,"93",51.709800000000001,8.579599999999999,Salzkotten,Nordrhein-Westfalen,182.000000000000000
13,"13","5699",2004-11-01,2021-02-11,"312",51.542700000000004,8.778400000000000,W�nnenberg-Eilern,Nordrhein-Westfalen,183.000000000000000
14,"14","13700",2008-05-01,2021-02-11,"205",51.332900000000002,7.341100000000000,Gevelsberg-Oberbr�king,Nordrhein-Westfalen,174.000000000000000
15,"15","216",2004-10-01,2021-02-11,"298",51.114300000000000,7.880700000000000,Attendorn-Neulisternohl,Nordrhein-Westfalen,190.000000000000000
16,"16","1300",2004-06-01,2021-02-11,"351",51.253999999999998,8.156499999999999,Eslohe,Nordrhein-Westfalen,153.000000000000000
17,"17","2483",1995-10-12,2021-02-11,"839",51.180300000000003,8.489100000000001,Kahler Asten,Nordrhein-Westfalen,180.000000000000000
18,"18","2947",2006-10-01,2021-02-11,"286",51.133299999999998,8.034800000000001,Lennestadt-Theten,Nordrhein-Westfalen,201.000000000000000
19,"19","3215",2007-06-01,2021-02-11,"375",51.168300000000002,8.712500000000000,Medebach-Berge,Nordrhein-Westfalen,185.000000000000000
20,"20","4400",2004-08-01,2021-02-11,"171",51.543900000000001,8.180800000000000,"Sassendorf, Bad-Beusingsen",Nordrhein-Westfalen,184.000000000000000
21,"21","4488",2006-08-01,2021-02-11,"443",51.212699999999998,8.267200000000001,Schmallenberg-Sellinghausen,Nordrhein-Westfalen,207.000000000000000
22,"22","5360",2007-07-01,2021-02-11,"331",51.431899999999999,8.266500000000001,Warstein-Hirschberg,Nordrhein-Westfalen,187.000000000000000
23,"23","6264",2004-06-01,2021-02-11,"457",51.414000000000001,8.650000000000000,Brilon-Th�len,Nordrhein-Westfalen,193.000000000000000
24,"24","7330",2005-10-01,2021-02-11,"159",51.463299999999997,7.978000000000000,Arnsberg-Neheim,Nordrhein-Westfalen,182.000000000000000
25,"25","3499",2006-07-01,2021-02-11,"292",51.291499999999999,7.853000000000000,Neuenrade-Blintrop,Nordrhein-Westfalen,165.000000000000000
26,"26","5468",2006-07-01,2020-10-01,"418",50.937700000000000,7.847500000000000,Wenden-D�rnscheid,Nordrhein-Westfalen,164.000000000000000
27,"27","389",2009-11-01,2021-02-11,"436",51.014800000000001,8.431800000000001,"Berleburg, Bad-Arfeld",Nordrhein-Westfalen,164.000000000000000
28,"28","390",2004-07-01,2021-02-11,"610",50.983699999999999,8.368300000000000,"Berleburg, Bad-St�nzel",Nordrhein-Westfalen,192.000000000000000
29,"29","796",2004-11-01,2021-02-11,"412",50.755600000000001,8.125700000000000,Burbach-W�rgendorf,Nordrhein-Westfalen,193.000000000000000
30,"30","4692",2008-03-01,2018-12-01,"229",50.853400000000001,7.996600000000000,Siegen (Kl�ranlage),Nordrhein-Westfalen,175.000000000000000
31,"31","3031",2004-07-01,2021-02-11,"92",51.633600000000001,8.394500000000001,Lippstadt-B�kenf�rde,Nordrhein-Westfalen,181.000000000000000
32,"32","5480",2003-09-10,2021-02-11,"85",51.576300000000003,7.887900000000000,Werl,Nordrhein-Westfalen,176.000000000000000
33,"33","6276",2004-11-01,2019-11-02,"235",51.489500000000000,7.781300000000000,Fr�ndenberg-Hohenheide,Nordrhein-Westfalen,176.000000000000000
